"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"[쉐보레(대우)] 뉴라보 롱카고 디럭스",4116,82누1626,,LPG,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801523%2FA250801523_02_03.jpg%3F20250818113044&type=m&w=800&h=500&quality=90&ttype=jpg,240375,200,"[쉐보레(대우)] 뉴라보 롱카고 디럭스",M/T,2015,"현대 경매장",KLY2B51EDFC305903,"A / 1"
"[기아] 봉고Ⅲ화물 CRDi 더블캡 초장축",4117,88도9559,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801470%2FA250801470_02_03.jpg%3F20250818111513&type=m&w=800&h=500&quality=90&ttype=jpg,225337,330,"[기아] 봉고Ⅲ화물 CRDi 더블캡 초장축",M/T,2016,"현대 경매장",KNCSJY76AGK031603,"B / 1"
"[기아] 봉고Ⅲ화물 CRDi 더블캡 초장축",4118,85어1688,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801495%2FA250801495_02_03.jpg%3F20250818104835&type=m&w=800&h=500&quality=90&ttype=jpg,130857,290,"[기아] 봉고Ⅲ화물 CRDi 더블캡 초장축",M/T,2013,"현대 경매장",KNCSJY76ADK756186,"C / 1"
"[현대] 싼타페(CM) 2.2 e-VGT 4WD MLX 럭셔리",4119,382가7414,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250800820%2FA250800820_02_03.jpg%3F20250811093340&type=m&w=800&h=500&quality=90&ttype=jpg,237935,180,"[현대] 싼타페(CM) 2.2 e-VGT 4WD MLX 럭셔리",A/T,2011,"현대 경매장",KMHSJ81XDBU675516,"A / 3"
"[기아] 올 뉴쏘렌토 R2.2 2WD 노블레스 스페셜",4120,57조0511,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250800663%2FA250800663_02_03.jpg%3F20250816115400&type=m&w=800&h=500&quality=90&ttype=jpg,248318,980,"[기아] 올 뉴쏘렌토 R2.2 2WD 노블레스 스페셜",A/T,2016,"현대 경매장",KNAPK81BBGA219965,"A / 3"
"[르노(삼성)] 뉴 QM6 2.0 LPe RE",4121,354오7844,,LPG,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250800659%2FA250800659_02_03.jpg%3F20250811102857&type=m&w=800&h=500&quality=90&ttype=jpg,51193,1630,"[르노(삼성)] 뉴 QM6 2.0 LPe RE",A/T,2021,"현대 경매장",KNME5C2C5MP059834,"A / 8"
"[기아] 더 뉴카니발 9인승 디젤 럭셔리",4122,335무9413,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801375%2FA250801375_02_03.jpg%3F20250816101754&type=m&w=800&h=500&quality=90&ttype=jpg,32445,1950,"[기아] 더 뉴카니발 9인승 디젤 럭셔리",A/T,2019,"현대 경매장",KNAMB81ABKS493663,"A / 8"
"[기아] 봉고Ⅲ화물 1.2톤 킹캡 초장축",4123,810모6967,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801446%2FA250801446_02_03.jpg%3F20250818105838&type=m&w=800&h=500&quality=90&ttype=jpg,328514,990,"[기아] 봉고Ⅲ화물 1.2톤 킹캡 초장축",M/T,2018,"현대 경매장",KNCWJZ76AJK264638,"A / 3"
"[현대] 코나 1.6 디젤 2WD 모던 초이스",4124,178보3989,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801449%2FA250801449_02_03.jpg%3F20250816124926&type=m&w=800&h=500&quality=90&ttype=jpg,161838,960,"[현대] 코나 1.6 디젤 2WD 모던 초이스",A/T,2020,"현대 경매장",KMHK2817GLU626556,"A / 6"
"[현대] 더 뉴그랜드스타렉스 어린이버스 15인승 디젤",4125,73저4150,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250800260%2FA250800260_02_03.jpg%3F20250805161613&type=m&w=800&h=500&quality=90&ttype=jpg,107335,1380,"[현대] 더 뉴그랜드스타렉스 어린이버스 15인승 디젤",A/T,2019,"현대 경매장",KMJWA37KBKU098548,"A / 6"
